iteration,error
1,18.42886
6,18.42885
10,18.42884
15,18.42883
19,18.42882
23,18.42881
27,18.4288
30,18.42879
34,18.42878
37,18.42877
40,18.42876
44,18.42875
47,18.42874
50,18.42873
53,18.42872
56,18.42871
59,18.4287
62,18.42869
66,18.42868
69,18.42867
72,18.42866
75,18.42865
78,18.42864
81,18.42863
84,18.42862
87,18.42861
90,18.4286
93,18.42859
96,18.42858
99,18.42857
103,18.42856
106,18.42855
109,18.42854
112,18.42853
116,18.42852
119,18.42851
122,18.4285
126,18.42849
129,18.42848
133,18.42847
136,18.42846
140,18.42845
143,18.42844
147,18.42843
151,18.42842
155,18.42841
158,18.4284
162,18.42839
167,18.42838
171,18.42837
175,18.42836
179,18.42835
184,18.42834
188,18.42833
193,18.42832
198,18.42831
202,18.4283
207,18.42829
213,18.42828
218,18.42827
223,18.42826
229,18.42825
235,18.42824
241,18.42823
247,18.42822
254,18.42821
261,18.4282
268,18.42819
275,18.42818
283,18.42817
292,18.42816
300,18.42815
310,18.42814
319,18.42813
330,18.42812
341,18.42811
353,18.4281
367,18.42809
381,18.42808
397,18.42807
416,18.42806
436,18.42805
460,18.42804
489,18.42803
525,18.42802
573,18.42801
644,18.428
791,18.42799
