iteration,error
1,18.43371
2,18.43344
3,18.43319
4,18.43296
5,18.43273
6,18.43252
7,18.43232
8,18.43213
9,18.43195
10,18.43177
11,18.43161
12,18.43146
13,18.43131
14,18.43118
15,18.43105
16,18.43092
17,18.43081
18,18.4307
19,18.4306
20,18.4305
21,18.43041
22,18.43032
23,18.43024
24,18.43016
25,18.43009
26,18.43002
27,18.42995
28,18.42989
29,18.42984
30,18.42978
31,18.42973
32,18.42968
33,18.42964
34,18.4296
35,18.42956
36,18.42952
37,18.42948
38,18.42945
39,18.42942
40,18.42939
41,18.42936
42,18.42933
43,18.42931
44,18.42928
45,18.42926
46,18.42924
47,18.42922
48,18.4292
49,18.42918
50,18.42917
51,18.42915
52,18.42913
53,18.42912
54,18.42911
55,18.42909
56,18.42908
57,18.42907
58,18.42906
59,18.42904
60,18.42903
61,18.42902
62,18.42901
64,18.429
65,18.42899
66,18.42898
67,18.42897
69,18.42896
70,18.42895
71,18.42894
73,18.42893
75,18.42892
76,18.42891
78,18.4289
80,18.42889
82,18.42888
84,18.42887
87,18.42886
89,18.42885
91,18.42884
94,18.42883
97,18.42882
99,18.42881
102,18.4288
105,18.42879
108,18.42878
111,18.42877
114,18.42876
118,18.42875
121,18.42874
124,18.42873
128,18.42872
131,18.42871
135,18.4287
139,18.42869
142,18.42868
146,18.42867
150,18.42866
154,18.42865
158,18.42864
162,18.42863
166,18.42862
170,18.42861
174,18.4286
179,18.42859
183,18.42858
187,18.42857
192,18.42856
197,18.42855
201,18.42854
206,18.42853
211,18.42852
216,18.42851
221,18.4285
226,18.42849
231,18.42848
236,18.42847
242,18.42846
247,18.42845
253,18.42844
259,18.42843
265,18.42842
271,18.42841
277,18.4284
283,18.42839
290,18.42838
297,18.42837
303,18.42836
310,18.42835
318,18.42834
325,18.42833
333,18.42832
341,18.42831
349,18.4283
357,18.42829
366,18.42828
375,18.42827
384,18.42826
394,18.42825
404,18.42824
414,18.42823
425,18.42822
436,18.42821
448,18.4282
460,18.42819
473,18.42818
487,18.42817
501,18.42816
516,18.42815
532,18.42814
550,18.42813
568,18.42812
588,18.42811
610,18.4281
633,18.42809
659,18.42808
688,18.42807
720,18.42806
756,18.42805
799,18.42804
851,18.42803
915,18.42802
1000,18.42801
1127,18.428
1389,18.42799
