iteration,error
1,18.43023
2,18.43018
3,18.43014
4,18.43009
5,18.43005
6,18.43001
7,18.42996
8,18.42992
9,18.42988
10,18.42985
11,18.42981
12,18.42977
13,18.42973
14,18.4297
15,18.42966
16,18.42963
17,18.4296
18,18.42957
19,18.42953
20,18.4295
21,18.42947
22,18.42944
23,18.42941
24,18.42939
25,18.42936
26,18.42933
27,18.4293
28,18.42928
29,18.42925
30,18.42923
31,18.4292
32,18.42918
33,18.42915
34,18.42913
35,18.42911
36,18.42909
37,18.42906
38,18.42904
39,18.42902
40,18.429
41,18.42898
42,18.42896
43,18.42894
44,18.42892
45,18.42891
46,18.42889
47,18.42887
48,18.42885
49,18.42884
50,18.42882
51,18.4288
52,18.42879
53,18.42877
54,18.42876
55,18.42874
56,18.42873
57,18.42871
58,18.4287
59,18.42868
60,18.42867
61,18.42866
62,18.42864
63,18.42863
64,18.42862
65,18.42861
66,18.42859
67,18.42858
68,18.42857
69,18.42856
70,18.42855
71,18.42854
72,18.42853
73,18.42852
74,18.42851
75,18.4285
76,18.42849
77,18.42848
78,18.42847
79,18.42846
80,18.42845
81,18.42844
82,18.42843
83,18.42842
84,18.42841
86,18.4284
87,18.42839
88,18.42838
89,18.42837
91,18.42836
92,18.42835
93,18.42834
95,18.42833
96,18.42832
98,18.42831
100,18.4283
101,18.42829
103,18.42828
105,18.42827
106,18.42826
108,18.42825
110,18.42824
112,18.42823
114,18.42822
117,18.42821
119,18.4282
121,18.42819
124,18.42818
127,18.42817
129,18.42816
132,18.42815
136,18.42814
139,18.42813
143,18.42812
146,18.42811
151,18.4281
155,18.42809
160,18.42808
166,18.42807
172,18.42806
179,18.42805
188,18.42804
198,18.42803
211,18.42802
227,18.42801
252,18.428
304,18.42799
