iteration,error
1,18.43357
2,18.43328
3,18.43301
4,18.43275
5,18.43251
6,18.43227
7,18.43205
8,18.43184
9,18.43164
10,18.43145
11,18.43127
12,18.4311
13,18.43093
14,18.43078
15,18.43063
16,18.43049
17,18.43036
18,18.43024
19,18.43012
20,18.43001
21,18.4299
22,18.4298
23,18.42971
24,18.42962
25,18.42953
26,18.42945
27,18.42937
28,18.4293
29,18.42923
30,18.42917
31,18.4291
32,18.42905
33,18.42899
34,18.42894
35,18.42889
36,18.42884
37,18.4288
38,18.42875
39,18.42871
40,18.42867
41,18.42864
42,18.4286
43,18.42857
44,18.42854
45,18.42851
46,18.42848
47,18.42846
48,18.42843
49,18.42841
50,18.42839
51,18.42837
52,18.42835
53,18.42833
54,18.42831
55,18.42829
56,18.42828
57,18.42826
58,18.42825
59,18.42823
60,18.42822
61,18.42821
62,18.4282
63,18.42819
64,18.42818
65,18.42817
66,18.42816
67,18.42815
68,18.42814
69,18.42813
70,18.42812
72,18.42811
73,18.4281
75,18.42809
77,18.42808
79,18.42807
81,18.42806
84,18.42805
87,18.42804
91,18.42803
95,18.42802
101,18.42801
110,18.428
129,18.42799
