iteration,error
1,18.43706
2,18.43623
3,18.43531
4,18.43442
5,18.4336
6,18.43289
7,18.43228
8,18.43176
9,18.4313
10,18.43092
11,18.43058
12,18.43029
13,18.43004
14,18.42982
15,18.42963
16,18.42946
17,18.42931
18,18.42918
19,18.42906
20,18.42896
21,18.42886
22,18.42878
23,18.42871
24,18.42864
25,18.42858
26,18.42853
27,18.42848
28,18.42844
29,18.4284
30,18.42837
31,18.42834
32,18.42831
33,18.42829
34,18.42826
35,18.42824
36,18.42822
37,18.42821
38,18.42819
39,18.42818
40,18.42817
41,18.42816
42,18.42815
43,18.42814
44,18.42813
45,18.42812
46,18.42811
48,18.4281
50,18.42809
52,18.42808
54,18.42807
58,18.42806
62,18.42805
67,18.42804
75,18.42803
85,18.42802
100,18.42801
124,18.428
172,18.42799
