iteration,error
1,18.42848
10,18.42847
18,18.42846
25,18.42845
32,18.42844
39,18.42843
46,18.42842
52,18.42841
59,18.4284
65,18.42839
72,18.42838
79,18.42837
85,18.42836
92,18.42835
99,18.42834
106,18.42833
113,18.42832
120,18.42831
127,18.4283
135,18.42829
142,18.42828
150,18.42827
158,18.42826
167,18.42825
175,18.42824
184,18.42823
193,18.42822
203,18.42821
213,18.4282
224,18.42819
235,18.42818
246,18.42817
258,18.42816
271,18.42815
284,18.42814
299,18.42813
314,18.42812
331,18.42811
349,18.4281
368,18.42809
390,18.42808
414,18.42807
440,18.42806
471,18.42805
506,18.42804
549,18.42803
602,18.42802
673,18.42801
779,18.428
996,18.42799
