iteration,error
1,18.43049
2,18.43045
3,18.43041
4,18.43037
5,18.43033
6,18.43029
7,18.43026
8,18.43022
9,18.43018
10,18.43015
11,18.43011
12,18.43008
13,18.43005
14,18.43001
15,18.42998
16,18.42995
17,18.42991
18,18.42988
19,18.42985
20,18.42982
21,18.42979
22,18.42976
23,18.42973
24,18.42971
25,18.42968
26,18.42965
27,18.42962
28,18.4296
29,18.42957
30,18.42954
31,18.42952
32,18.42949
33,18.42947
34,18.42945
35,18.42942
36,18.4294
37,18.42937
38,18.42935
39,18.42933
40,18.42931
41,18.42929
42,18.42926
43,18.42924
44,18.42922
45,18.4292
46,18.42918
47,18.42916
48,18.42914
49,18.42913
50,18.42911
51,18.42909
52,18.42907
53,18.42905
54,18.42904
55,18.42902
56,18.429
57,18.42898
58,18.42897
59,18.42895
60,18.42894
61,18.42892
62,18.42891
63,18.42889
64,18.42888
65,18.42886
66,18.42885
67,18.42883
68,18.42882
69,18.42881
70,18.42879
71,18.42878
72,18.42877
73,18.42875
74,18.42874
75,18.42873
76,18.42872
77,18.4287
78,18.42869
79,18.42868
80,18.42867
81,18.42866
82,18.42865
83,18.42864
84,18.42863
85,18.42862
86,18.42861
87,18.4286
88,18.42859
89,18.42858
90,18.42857
91,18.42856
92,18.42855
93,18.42854
94,18.42853
95,18.42852
96,18.42851
97,18.4285
98,18.42849
100,18.42848
101,18.42847
102,18.42846
103,18.42845
105,18.42844
106,18.42843
107,18.42842
109,18.42841
110,18.4284
112,18.42839
113,18.42838
115,18.42837
116,18.42836
118,18.42835
120,18.42834
121,18.42833
123,18.42832
125,18.42831
127,18.4283
129,18.42829
131,18.42828
133,18.42827
135,18.42826
137,18.42825
140,18.42824
142,18.42823
145,18.42822
147,18.42821
150,18.4282
153,18.42819
156,18.42818
159,18.42817
162,18.42816
166,18.42815
170,18.42814
174,18.42813
178,18.42812
183,18.42811
188,18.4281
193,18.42809
199,18.42808
206,18.42807
213,18.42806
222,18.42805
232,18.42804
244,18.42803
259,18.42802
279,18.42801
309,18.428
371,18.42799
