iteration,error
1,18.42901
2,18.429
3,18.42898
4,18.42897
5,18.42896
6,18.42895
7,18.42894
8,18.42892
9,18.42891
10,18.4289
11,18.42889
12,18.42888
13,18.42887
14,18.42886
15,18.42885
16,18.42883
17,18.42882
18,18.42881
19,18.4288
20,18.42879
21,18.42878
22,18.42877
23,18.42876
24,18.42875
25,18.42874
26,18.42873
27,18.42872
28,18.42871
30,18.4287
31,18.42869
32,18.42868
33,18.42867
34,18.42866
35,18.42865
36,18.42864
38,18.42863
39,18.42862
40,18.42861
41,18.4286
42,18.42859
44,18.42858
45,18.42857
46,18.42856
48,18.42855
49,18.42854
50,18.42853
52,18.42852
53,18.42851
55,18.4285
56,18.42849
58,18.42848
59,18.42847
61,18.42846
62,18.42845
64,18.42844
66,18.42843
67,18.42842
69,18.42841
71,18.4284
73,18.42839
75,18.42838
77,18.42837
79,18.42836
81,18.42835
83,18.42834
85,18.42833
87,18.42832
89,18.42831
91,18.4283
94,18.42829
96,18.42828
99,18.42827
102,18.42826
104,18.42825
107,18.42824
110,18.42823
113,18.42822
116,18.42821
120,18.4282
123,18.42819
127,18.42818
131,18.42817
135,18.42816
139,18.42815
144,18.42814
149,18.42813
154,18.42812
160,18.42811
166,18.4281
173,18.42809
180,18.42808
188,18.42807
197,18.42806
208,18.42805
220,18.42804
234,18.42803
253,18.42802
277,18.42801
313,18.428
388,18.42799
