iteration,error
1,18.42902
2,18.42901
3,18.42899
4,18.42898
5,18.42897
6,18.42896
7,18.42895
8,18.42893
9,18.42892
10,18.42891
11,18.4289
12,18.42889
13,18.42888
14,18.42887
15,18.42886
16,18.42885
17,18.42884
18,18.42883
19,18.42882
20,18.42881
21,18.4288
23,18.42879
24,18.42878
25,18.42877
26,18.42876
27,18.42875
29,18.42874
30,18.42873
31,18.42872
33,18.42871
34,18.4287
36,18.42869
37,18.42868
39,18.42867
40,18.42866
42,18.42865
43,18.42864
45,18.42863
47,18.42862
49,18.42861
51,18.4286
53,18.42859
55,18.42858
57,18.42857
59,18.42856
62,18.42855
64,18.42854
67,18.42853
69,18.42852
72,18.42851
75,18.4285
79,18.42849
82,18.42848
86,18.42847
90,18.42846
94,18.42845
99,18.42844
105,18.42843
111,18.42842
118,18.42841
126,18.4284
136,18.42839
148,18.42838
165,18.42837
191,18.42836
236,18.42835
301,18.42834
360,18.42833
413,18.42832
462,18.42831
510,18.4283
558,18.42829
606,18.42828
656,18.42827
707,18.42826
761,18.42825
816,18.42824
875,18.42823
935,18.42822
999,18.42821
1067,18.4282
1137,18.42819
1212,18.42818
1291,18.42817
1375,18.42816
1465,18.42815
1560,18.42814
1662,18.42813
1772,18.42812
1891,18.42811
2021,18.4281
2162,18.42809
2319,18.42808
2493,18.42807
2689,18.42806
2914,18.42805
3176,18.42804
3491,18.42803
3885,18.42802
4410,18.42801
5196,18.428
