Time,Predicted,Actual
09:30,23877.5676998,23939.08
09:45,23939.2573571,23892.22
10:00,23892.6690821,23852.93
10:15,23853.3480935,23849.0
10:30,23849.3150699,23859.01
10:45,23859.2776291,23836.92
11:00,23837.3048156,23849.22
11:15,23849.4933603,23839.91
11:30,23840.2452179,23783.52
11:45,23783.9744914,23782.2
12:00,23782.5046907,23780.64
12:15,23781.14,23766.82
12:30,23766.9644928,23782.05
12:45,23782.2899967,23842.05
13:00,23842.2151689,23872.0
13:15,23872.2007077,23860.0
13:30,23860.310457,23848.39
13:45,23848.7031152,23813.41
14:00,23813.827932,23797.93
14:15,23798.2657206,23829.91
14:30,23830.10996,23821.64
14:45,23821.9972783,23829.33
15:00,23816.9585667,23901.13
15:15,23816.9585667,23901.13
