Time,Predicted,Actual
09:30,21890.4411934,21831.69
09:45,21832.1230463,21807.16
10:00,21807.4988877,21849.67
10:15,21849.8540042,21811.94
10:30,21812.3257624,21820.82
10:45,21821.0703034,21835.11
11:00,21835.3421994,21890.82
11:15,21890.994679,21882.0
11:30,21882.3182046,21864.61
11:45,21864.9536904,21859.27
12:00,21859.5712464,21842.05
12:15,21842.3811017,21847.8
12:30,21848.0477458,21850.48
12:45,21850.7449884,21847.36
13:00,21847.6420605,21850.17
13:15,21850.4343417,21848.22
13:30,21848.5070166,21862.59
13:45,21862.8149751,21848.31
14:00,21848.6408056,21860.32
14:15,21860.5826742,21866.15
14:30,21866.4294898,21807.53
14:45,21807.9831069,21825.24
15:00,21825.4818606,21822.25
15:15,21822.5614955,21828.29
