Time,Predicted,Actual
09:30,22464.4376037,22434.48
09:45,22434.088882,22424.08
10:00,22424.369231,22435.7
10:15,22435.9278614,22410.17
10:30,22410.5451233,22410.85
10:45,22411.1324645,22397.51
11:00,22397.811257,22387.92
11:15,22388.3440226,22369.75
11:30,22370.0656452,22361.56
11:45,22361.844269,22380.73
12:00,22380.9409757,22368.31
12:15,22368.6313242,22355.0
12:30,22355.315033,22382.95
12:45,22383.1385717,22387.31
13:00,22387.5878037,22379.9
13:15,22380.3217368,22342.61
13:30,22342.9728373,22318.38
13:45,22318.7852505,22300.24
14:00,22300.6207879,22302.6
14:15,22302.9105191,22302.89
14:30,22303.2147722,22311.63
14:45,22311.8648264,22341.42
15:00,22341.7502254,22340.13
15:15,22340.406432,22385.58
