Time,Predicted,Actual
09:30,22764.1626253,22802.67
09:45,22802.8502217,22822.23
10:00,22822.4922152,22823.62
10:15,22823.8749592,22833.79
10:30,22828.3146344,22802.72
10:45,22803.1029692,22794.43
11:00,22794.7538838,22803.07
11:15,22803.3376323,22802.3
11:30,22802.5999858,22778.62
11:45,22779.0118503,22798.11
12:00,22798.3417511,22782.0
12:15,22782.330141,22791.34
12:30,22792.0435611,22812.01
12:45,22812.270824,22790.79
13:00,22791.1780792,22791.08
13:15,22791.3570078,22784.07
13:30,22784.4227999,22764.84
13:45,22767.694233,22811.46
14:00,22811.6621409,22804.82
14:15,22805.1074179,22782.42
14:30,22778.7207216,22776.86
14:45,22777.1844414,22780.88
15:00,22781.1554191,22747.22
15:15,22747.6426698,22750.48
