Time,Predicted,Actual
09:30,22477.0124308,22369.67
09:45,22370.1564408,22403.19
10:00,22403.3933474,22411.39
10:15,22411.6660428,22398.68
10:30,22398.880314,22396.07
10:45,22396.3925362,22364.1
11:00,22364.4979218,22368.32
11:15,22368.5735863,22375.38
11:30,22375.6392958,22357.8
11:45,22358.1073665,22357.08
12:00,22357.3599662,22372.97
12:15,22373.2111444,22398.57
12:30,22398.7932473,22315.09
12:45,22315.5680589,22315.13
13:00,22315.4180705,22340.4
13:15,22340.6253406,22339.36
13:30,22343.5990771,22373.55
13:45,22373.7871452,22406.25
14:00,22406.4514018,22374.74
14:15,22375.1339597,22365.77
14:30,22366.0828605,22380.03
14:45,22380.3072583,22392.39
15:00,22396.2511606,22397.88
15:15,22398.1507062,22439.18
