Time,Predicted,Actual
09:30,22360.7683395,22402.6
09:45,22402.8064763,22428.72
10:00,22428.9634757,22409.07
10:15,22409.4582926,22387.44
10:30,22387.801437,22351.53
10:45,22351.9587793,22308.62
11:00,22309.0624091,22271.55
11:15,22271.9812585,22265.83
11:30,22266.1727619,22262.25
11:45,22262.5877782,22253.66
12:00,22254.0143697,22228.77
12:15,22229.1101138,22220.51
12:30,22220.8631705,22215.19
12:45,22215.5335829,22227.72
13:00,22227.9611392,22206.17
13:15,22206.5636986,22211.45
13:30,22211.7579969,22246.97
13:45,22247.16973,22266.32
14:00,22266.5649464,22243.53
14:15,22243.8966606,22232.15
14:30,22232.5132902,22236.15
14:45,22236.4218167,22273.55
15:00,22273.7685274,22304.33
15:15,22304.5616547,22346.07
