Time,Predicted,Actual
09:30,22436.1944933,22454.57
09:45,22454.8352389,22435.8
10:00,22436.1194432,22470.72
10:15,22470.920816,22453.72
10:30,22454.0470045,22442.13
10:45,22442.4468331,22432.06
11:00,22432.3561408,22415.35
11:15,22415.6655693,22408.69
11:30,22408.9689843,22409.74
11:45,22410.0016378,22395.54
12:00,22395.8504607,22405.92
12:15,22406.1674783,22401.96
12:30,22398.4828546,22414.6
12:45,22414.8245281,22406.26
13:00,22406.5523498,22405.57
13:15,22405.8308928,22436.54
13:30,22444.203642,22425.95
13:45,22426.2676869,22442.71
14:00,22442.9390587,22491.52
14:15,22491.6906961,22533.78
14:30,22533.9725027,22564.02
14:45,22564.2426738,22573.42
15:00,22573.6532749,22654.88
15:15,22655.0397078,22683.11
