Time,Predicted,Actual
09:30,21004.9330069,20978.39
09:45,20984.6895199,20987.12
10:00,20987.4025043,20977.33
10:15,20977.6196028,21000.54
10:30,20993.0101212,21028.0
10:45,21028.1990617,21033.03
11:00,21033.3400547,21021.45
11:15,21021.7649643,21019.96
11:30,21019.890477,21017.11
11:45,21021.2840236,21134.02
12:00,21134.1689666,21117.34
12:15,21117.6997659,21143.65
12:30,21143.8553303,21137.36
12:45,21137.6682595,21161.75
13:00,21161.9637355,21219.72
13:15,21219.8872835,21178.61
13:30,21179.0235399,21189.77
13:45,21190.0180743,21177.97
14:00,21178.2946403,21177.74
14:15,21178.0226607,21175.88
14:30,21176.1669038,21206.27
14:45,21206.4736475,21194.3
15:00,21194.6128555,21216.48
15:15,21216.6942451,21203.57
