Time,Predicted,Actual
09:30,22496.3557816,22440.5
09:45,22440.9267982,22398.99
10:00,22399.3818279,22404.9
10:15,22405.1519065,22406.98
10:30,22407.2345911,22395.33
10:45,22395.6192203,22377.76
11:00,22378.082683,22444.79
11:15,22444.951414,22456.14
11:30,22456.3844856,22431.98
11:45,22432.3372342,22431.54
12:00,22431.8224285,22414.85
12:15,22415.1836597,22410.38
12:30,22410.6868663,22413.37
12:45,22413.6852654,22408.22
13:00,22408.5082955,22414.44
13:15,22414.6991831,22426.69
13:30,22426.9436211,22426.41
13:45,22426.6952044,22416.25
14:00,22416.5686258,22400.7
14:15,22401.0188464,22347.74
14:30,22348.1684423,22360.67
14:45,22360.9174855,22376.41
15:00,22376.6537311,22362.53
15:15,22362.9002702,22351.33
