Time,Predicted,Actual
09:30,23894.6441893,23861.85
09:45,23863.8706476,23940.8
10:00,23940.9580962,23880.08
10:15,23880.5292468,23880.62
10:30,23880.8930377,23836.75
10:45,23837.1590606,23857.73
11:00,23857.9881196,23857.21
11:15,23857.4830335,23796.57
11:30,23797.0145714,23821.12
11:45,23822.3755069,23820.01
12:00,23820.3083595,23816.79
12:15,23817.092278,23781.55
12:30,23775.0402294,23782.5
12:45,23782.786069,23772.92
13:00,23773.2567811,23783.5
13:15,23783.7774908,23780.97
13:30,23781.2903086,23785.97
13:45,23786.2580562,23795.62
14:00,23795.8871819,23828.59
14:15,23828.8023946,23797.77
14:30,23798.1607749,23793.41
14:45,23793.7092163,23854.11
15:00,23854.2784907,23855.09
15:15,23855.3715588,23823.5
