Time,Predicted,Actual
09:30,22152.3936416,22143.08
09:45,22143.3674556,22155.01
10:00,22155.250106,22135.68
10:15,22136.0014208,22126.73
10:30,22126.97936,22129.07
10:45,22129.3926869,22129.37
11:00,22129.6523217,22128.07
11:15,22128.3781011,22120.83
11:30,22121.1278202,22141.53
11:45,22141.7477263,22133.94
12:00,22134.2317065,22124.69
12:15,22124.9832964,22150.84
12:30,22151.0476053,22146.81
12:45,22147.1073389,22144.09
13:00,22144.3476898,22148.29
13:15,22148.5639131,22134.77
13:30,22135.0691079,22108.48
13:45,22108.8195857,22118.1
14:00,22118.3304565,22121.56
14:15,22121.8145588,22068.24
14:30,22068.6749361,22065.86
14:45,22066.151322,22066.98
15:00,22067.2394689,22069.52
15:15,22069.7822875,22090.05
