Time,Predicted,Actual
09:30,21057.093105,21042.15
09:45,21042.523902,21055.68
10:00,21055.9607766,21065.94
10:15,21066.1991916,21068.98
10:30,21069.4480847,21088.86
10:45,21089.0928706,21065.87
11:00,21066.2530726,21059.07
11:15,21059.3769608,21087.72
11:30,21087.9328451,21091.75
11:45,21091.911319,21054.93
12:00,21055.3314224,21066.98
12:15,21067.2327178,21057.91
12:30,21058.1806211,21050.99
12:45,21051.2955908,21057.97
13:00,21058.2317428,21064.58
13:15,21064.8760207,21067.77
13:30,21068.0404468,21043.01
13:45,21043.4136534,21057.78
14:00,21058.0222498,21064.46
14:15,21064.7177137,21071.49
14:30,21071.7950022,21080.99
14:45,21081.2911278,21069.37
15:00,21069.7044251,21099.81
15:15,21100.0381288,21118.65
