Time,Predicted,Actual
09:30,22356.1928432,22368.13
09:45,22368.5705894,22447.93
10:00,22448.0924052,22508.5
10:15,22508.6787208,22530.86
10:30,22531.1042777,22599.41
10:45,22599.572296,22595.74
11:00,22596.075885,22588.33
11:15,22588.6788833,22602.3
11:30,22602.5712293,22608.0
11:45,22608.3083957,22607.58
12:00,22607.8561343,22680.99
12:15,22681.1490533,22748.09
12:30,22748.2621784,22806.1
12:45,22806.2824096,22809.16
13:00,22809.4681713,22854.0
13:15,22854.2005002,22903.7
13:30,22903.894169,22878.83
13:45,22879.2282108,22930.9
14:00,22931.084536,22946.6
14:15,22946.8592062,22934.2
14:30,22927.9059021,22903.98
14:45,22904.3459596,22910.26
15:00,22922.3644124,22937.85
15:15,22927.3196115,22980.0
