Time,Predicted,Actual
09:30,22818.4157123,22853.92
09:45,22854.1398014,22858.8
10:00,22859.0756035,22850.94
10:15,22851.2575201,22866.77
10:30,22867.0163172,22850.85
10:45,22851.1957917,22857.88
11:00,22858.1424348,22870.5
11:15,22870.7463942,22861.38
11:30,22861.6964572,22863.69
11:45,22863.9616622,22874.23
12:00,22874.484308,22884.16
12:15,22884.412782,22891.13
12:30,22891.3867636,22893.34
12:45,22893.6309871,22886.01
13:00,22886.3204134,22873.34
13:15,22873.6584869,22885.46
13:30,22880.7172298,22858.95
13:45,22859.3433665,22867.02
14:00,22867.2437044,22867.79
14:15,22868.0737181,22877.12
14:30,22877.3778246,22866.11
14:45,22863.7251788,22831.98
15:00,22832.3490486,22820.51
15:15,22820.8143176,22879.09
