Time,Predicted,Actual
09:30,22602.3233942,22549.89
09:45,22550.3469447,22535.54
10:00,22535.8619112,22517.6
10:15,22517.9167352,22488.82
10:30,22489.1799617,22500.32
10:45,22500.5461016,22479.23
11:00,22479.5201012,22488.71
11:15,22488.9431275,22490.82
11:30,22491.0914959,22463.84
11:45,22464.17044,22456.95
12:00,22457.2436196,22423.38
12:15,22423.8074196,22432.81
12:30,22433.0529285,22445.29
12:45,22445.5732957,22446.52
13:00,22446.8059608,22437.93
13:15,22438.2430092,22435.46
13:30,22435.7610132,22414.13
13:45,22414.4808944,22388.46
14:00,22388.8204382,22432.1
14:15,22432.2843139,22422.73
14:30,22423.0486769,22424.07
14:45,22426.5755942,22380.95
15:00,22381.3723288,22402.9
15:15,22403.1258993,22505.42
