Time,Predicted,Actual
09:30,22506.2425735,22492.85
09:45,22493.1502895,22487.79
10:00,22488.0809812,22476.24
10:15,22476.5467401,22483.3
10:30,22483.6869863,22473.52
10:45,22473.8154478,22467.07
11:00,22568.5702552,22466.95
11:15,22467.4333164,22453.0
11:30,22456.3892435,22412.96
11:45,22413.3873024,22442.12
12:00,22442.3237866,22416.67
12:15,22417.0319772,22389.49
12:30,22389.8992898,22392.85
12:45,22393.1641844,22412.98
13:00,22413.2403386,22398.15
13:15,22398.4772667,22420.42
13:30,22420.6393193,22399.16
13:45,22399.524744,22375.91
14:00,22376.2726954,22362.46
14:15,22362.7757167,22378.61
14:30,22378.8473059,22409.66
14:45,22409.8641753,22395.33
15:00,22395.701971,22369.63
15:15,22370.0348405,22316.93
