Time,Predicted,Actual
09:30,22702.412694,22710.46
09:45,22710.7242804,22705.09
10:00,22705.3819719,22705.54
10:15,22705.864237,22687.13
10:30,22687.540853,22700.47
10:45,22700.7583056,22696.71
11:00,22697.0470421,22696.37
11:15,22696.694419,22705.23
11:30,22705.4789141,22691.62
11:45,22691.9951511,22682.66
12:00,22683.0130911,22693.2
12:15,22693.4387362,22704.75
12:30,22704.9944313,22700.69
12:45,22701.0246647,22681.48
13:00,22681.8160326,22691.94
13:15,22692.2283827,22688.37
13:30,22688.6581292,22685.76
13:45,22686.0961003,22694.31
14:00,22694.6099138,22710.12
14:15,22710.3892623,22686.97
14:30,22687.3619145,22776.05
14:45,22776.2043393,22768.76
15:00,22769.0818705,22782.58
15:15,22782.8330466,22778.45
