Time,Predicted,Actual
09:30,21865.5144127,21965.27
09:45,21965.4206286,22004.02
10:00,22004.2332744,22018.43
10:15,22018.6772814,22008.13
10:30,22008.4814101,21999.67
10:45,22000.17,22004.45
11:00,22004.7315942,22004.35
11:15,22004.6416171,22021.37
11:30,22021.6096805,22006.2
11:45,22006.535089,21996.09
12:00,21996.4078772,21989.91
12:15,21990.2152449,21997.27
12:30,21997.5716187,22001.85
12:45,22002.1137583,22012.52
13:00,22012.7723772,22026.36
13:15,22026.5044928,22029.2
13:30,22029.4868169,22062.76
13:45,22062.9650147,22069.43
14:00,22069.7135378,22048.42
14:15,22048.7720633,22048.86
14:30,22049.1493316,22064.04
14:45,22064.279894,22066.27
15:00,22066.549205,22047.43
15:15,22047.7622798,22054.98
