Time,Predicted,Actual
09:30,21354.1453268,21356.62
09:45,21356.8714003,21368.6
10:00,21368.8399226,21370.41
10:15,21370.7295443,21387.92
10:30,21388.2025762,21370.36
10:45,21370.7382245,21383.91
11:00,21384.1531971,21374.04
11:15,21374.3569621,21358.87
11:30,21359.1972276,21363.87
11:45,21356.5553361,21365.11
12:00,21365.3782944,21372.83
12:15,21373.0773911,21363.9
12:30,21364.2206212,21384.45
12:45,21384.6741214,21392.57
13:00,21392.8135783,21391.85
13:15,21393.2515318,21395.61
13:30,21395.8759679,21395.16
13:45,21395.4367712,21431.63
14:00,21431.8265316,21473.43
14:15,21473.6365936,21428.0
14:30,21428.427708,21475.66
14:45,21475.8569103,21458.25
15:00,21458.607108,21482.6
15:15,21482.8453574,21513.62
