Time,Predicted,Actual
09:30,21995.2401392,22001.57
09:45,22001.8398276,21997.34
10:00,21997.6626433,22031.67
10:15,22031.8904192,22030.59
10:30,22030.9146825,22028.85
10:45,22029.1279572,22028.08
11:00,22028.4083191,22024.44
11:15,22024.7801951,22023.5
11:30,22023.7755685,22011.22
11:45,22011.5352624,22027.23
12:00,22027.4664418,22015.76
12:15,22024.5681617,22037.45
12:30,22036.4050591,22028.16
12:45,22028.4834501,22017.49
13:00,22017.8100471,22019.28
13:15,22018.5479443,22027.34
13:30,22027.5855512,22019.3
13:45,22019.6073598,22064.23
14:00,22064.4351124,22057.21
14:15,22057.5198679,22055.83
14:30,22056.1188152,22049.94
14:45,22050.2350961,22029.75
15:00,22030.0615862,22039.89
15:15,22040.2594622,22058.46
