Time,Predicted,Actual
09:30,22489.2437429,22586.97
09:45,22587.1190549,22555.18
10:00,22555.5997251,22562.18
10:15,22562.4386811,22557.37
10:30,22557.6667747,22559.63
10:45,22559.9076558,22550.03
11:00,22550.3547934,22541.09
11:15,22541.405991,22525.99
11:30,22526.3233852,22541.96
11:45,22542.1913149,22538.11
12:00,22540.7592626,22521.81
12:15,22522.1944423,22523.29
12:30,22523.6149632,22529.08
12:45,22529.3848415,22515.8
13:00,22516.1673012,22508.53
13:15,22508.9856075,22524.13
13:30,22524.368051,22530.89
13:45,22531.1538193,22522.11
14:00,22522.4172834,22508.97
14:15,22509.2911443,22514.59
14:30,22514.8969032,22479.73
14:45,22480.1151282,22479.48
15:00,22479.753096,22490.1
15:15,22490.3518996,22499.7
