Time,Predicted,Actual
09:30,21841.5446849,21871.62
09:45,21871.8116085,21904.68
10:00,21904.9058637,21899.8
10:15,21900.0738822,21912.35
10:30,21912.5767821,21947.8
10:45,21948.2213944,21977.08
11:00,21977.2597857,21945.73
11:15,21945.9178859,21943.95
11:30,21944.2471137,21935.71
11:45,21936.1918938,21913.89
12:00,21914.2198036,21939.63
12:15,21939.8363083,21923.44
12:30,21923.7647291,21950.78
12:45,21950.9912658,21932.12
13:00,21932.4667856,21942.95
13:15,21943.2395319,21942.9
13:30,21943.1781576,21933.27
13:45,21933.6276581,21932.9
14:00,21933.0531443,21922.65
14:15,21922.9474599,21910.54
14:30,21910.8354403,21920.84
14:45,21921.1305428,21828.76
15:00,21829.2541644,21785.25
15:15,21785.5968165,21780.99
