Time,Predicted,Actual
09:30,22180.4882407,22306.08
09:45,22306.226187,22236.0
10:00,22273.7676603,22266.27
10:15,22273.7597091,22266.27
10:30,22266.5745721,22264.85
10:45,22265.13104,22248.46
11:00,22248.7810389,22231.64
11:15,22231.9608039,22224.7
11:30,22224.9851161,22234.11
11:45,22234.3466549,22241.04
12:00,22241.2876052,22229.1
12:15,22229.4081315,22189.23
12:30,22189.6317328,22206.61
12:45,22206.8436405,22216.46
13:00,22216.8087145,22207.7
13:15,22207.9540664,22218.17
13:30,22218.4249753,22228.87
13:45,22229.1245742,22263.5
14:00,22263.702368,22256.52
14:15,22256.8310268,22256.15
14:30,22256.4216532,22229.65
14:45,22230.014837,22257.03
15:00,22257.2388476,22281.73
15:15,22281.9652366,22349.22
