Time,Predicted,Actual
09:30,21942.3474615,21991.35
09:45,21991.5299054,21953.37
10:00,21953.7798128,21982.55
10:15,21982.761747,21992.82
10:30,21993.1193064,21927.94
10:45,21928.4020182,21877.81
11:00,21878.2419071,21871.52
11:15,21871.8289765,21879.76
11:30,21880.0173219,21901.44
11:45,21901.661866,21901.24
12:00,21901.5277182,21878.7
12:15,21879.0602448,21860.83
12:30,21861.1786543,21847.13
12:45,21847.4548135,21853.88
13:00,21854.1317107,21828.0
13:15,21828.3754866,21859.83
13:30,21860.0308621,21834.0
13:45,21834.3601275,21825.78
14:00,21826.1219094,21840.69
14:15,21840.9633775,21832.1
14:30,21832.4114321,21799.04
14:45,21800.4057347,21779.65
15:00,21779.9963841,21808.07
15:15,21808.2707813,21823.32
