Time,Predicted,Actual
09:30,22138.008167,22117.02
09:45,22117.3461337,22132.84
10:00,22133.0834885,22177.05
10:15,22177.2241977,22200.59
10:30,22200.8515139,22193.06
10:45,22193.3557909,22185.85
11:00,22186.1731681,22194.22
11:15,22194.4907329,22200.98
11:30,22201.2238954,22206.67
11:45,22206.9475686,22208.41
12:00,22208.680901,22212.86
12:15,22213.1267767,22205.72
12:30,22206.0299571,22215.83
12:45,22216.058344,22213.93
13:00,22214.2144883,22200.62
13:15,22200.9569268,22210.6
13:30,22210.8422888,22188.83
13:45,22189.1854048,22186.82
14:00,22187.1087944,22171.03
14:15,22171.3509745,22243.18
14:30,22243.3384551,22236.77
14:45,22237.0687066,22273.23
15:00,22273.4250517,22284.01
15:15,22284.2720084,22184.7
