Time,Predicted,Actual
09:30,21806.3430567,21811.46
09:45,21818.8951377,21803.18
10:00,21803.5225583,21787.4
10:15,21787.7441031,21840.62
10:30,21840.7933899,21930.0
10:45,21930.1508617,21939.8
11:00,21926.9979272,21919.09
11:15,21919.3807144,21910.1
11:30,21910.4564782,21907.44
11:45,21907.7708282,21905.72
12:00,21905.9877789,21921.87
12:15,21922.091673,21923.58
12:30,21923.8890646,21866.75
12:45,21866.2945432,21836.22
13:00,21836.5928347,21863.17
13:15,21863.4151808,21854.62
13:30,21855.5918618,21864.01
13:45,21864.2697203,21870.89
14:00,21871.1926339,21868.6
14:15,21868.9388223,21852.74
14:30,21853.070669,21829.28
14:45,21829.6349516,21798.7
15:00,21799.0571247,21826.95
15:15,21827.1525903,21854.62
