Time,Predicted,Actual
09:30,21086.9169071,21078.45
09:45,21078.8032839,21099.71
10:00,21099.9169918,21105.24
10:15,21105.552517,21116.53
10:30,21116.8167083,21113.72
10:45,21113.9655167,21116.34
11:00,21118.6333082,21114.88
11:15,21115.1668851,21111.45
11:30,21111.7340338,21110.26
11:45,21110.526195,21109.69
12:00,21109.9612701,21083.96
12:15,21084.3136313,21045.99
12:30,21046.3812548,21035.51
12:45,21035.8165456,21011.18
13:00,21016.1874725,21011.92
13:15,21012.1989506,21016.05
13:30,21016.3037306,20992.43
13:45,20992.7647598,20959.25
14:00,20959.6324345,20925.06
14:15,20925.4497675,20950.42
14:30,20947.4597903,20962.51
14:45,20962.7510151,20943.72
15:00,20944.0720138,20944.05
15:15,20944.3401374,20962.68
