Time,Predicted,Actual
09:30,23910.9345009,23822.68
09:45,23823.1671309,23803.85
10:00,23804.2359258,23835.91
10:15,23836.138196,23859.02
10:30,23859.1867141,23879.98
10:45,23880.2152659,23916.64
11:00,23916.8488258,23959.87
11:15,23960.0673361,23946.03
11:30,23944.9425199,23981.16
11:45,23981.3601167,23991.23
12:00,23991.4774753,24028.06
12:15,24028.2534896,24023.58
12:30,24033.7304585,23967.24
12:45,23967.7377374,23916.56
13:00,23916.9851517,23782.79
13:15,23783.2853458,23871.46
13:30,23871.6123759,23891.54
13:45,23891.7676964,23906.19
14:00,23906.4661012,23889.57
14:15,23889.9233551,23888.21
14:30,23888.4089901,23904.76
14:45,23905.1418518,23828.83
15:00,23829.2966895,23847.89
15:15,23848.1186502,23875.4
