Time,Predicted,Actual
09:30,22384.6323522,22378.54
09:45,22378.8168432,22355.72
10:00,22356.1171588,22345.43
10:15,22345.7325126,22364.27
10:30,22364.6720151,22387.78
10:45,22388.00429,22437.83
11:00,22438.0230154,22423.59
11:15,22423.9422816,22415.38
11:30,22415.6466736,22380.93
11:45,22381.3250945,22371.5
12:00,22371.8080718,22337.95
12:15,22338.3182351,22314.1
12:30,22314.5000168,22322.54
12:45,22322.7808933,22325.92
13:00,22326.2339119,22301.26
13:15,22301.6620317,22322.4
13:30,22322.6578539,22297.46
13:45,22297.8268171,22312.13
14:00,22312.3708178,22331.1
14:15,22331.3625942,22320.55
14:30,22320.8761763,22324.61
14:45,22324.7845796,22369.61
15:00,22369.8107398,22350.17
15:15,22350.509282,22319.95
