Time,Predicted,Actual
09:30,22347.7393487,22341.2
09:45,22341.4780964,22336.56
10:00,22335.6673232,22340.12
10:15,22338.1969317,22355.06
10:30,22355.3361963,22449.04
10:45,22449.1955259,22496.48
11:00,22496.6775494,22473.69
11:15,22474.0435399,22462.18
11:30,22463.0943514,22463.83
11:45,22464.1024693,22485.66
12:00,22485.8940321,22467.43
12:15,22467.7811856,22460.41
12:30,22460.7207454,22467.1
12:45,22467.3641864,22450.36
13:00,22450.690011,22443.41
13:15,22443.6998514,22483.5
13:30,22483.6865123,22527.04
13:45,22527.2263916,22579.17
14:00,22579.3382816,22591.7
14:15,22591.9640268,22586.32
14:30,22586.6434349,22569.04
14:45,22569.3912915,22612.28
15:00,22612.4724041,22611.22
15:15,22611.5119403,22620.65
