Time,Predicted,Actual
09:30,21837.0482481,21816.52
09:45,21816.8951831,21791.62
10:00,21792.0085945,21781.04
10:15,21763.6880399,21757.55
10:30,21757.8692101,21748.59
10:45,21748.876849,21763.96
11:00,21764.2080198,21771.23
11:15,21771.4948474,21774.03
11:30,21774.3044818,21786.39
11:45,21786.6433728,21778.32
12:00,21778.6400113,21788.25
12:15,21780.3560695,21767.55
12:30,21767.8737807,21770.86
12:45,21771.1305822,21769.3
13:00,21769.5748542,21776.4
13:15,21778.5331411,21781.6
13:30,21781.8666483,21739.49
13:45,21739.8963307,21755.82
14:00,21756.0576444,21773.64
14:15,21773.8797007,21743.8
14:30,21744.1879401,21786.79
14:45,21786.9765201,21755.76
15:00,21756.1530704,21772.37
15:15,21772.6182172,21755.87
