Time,Predicted,Actual
09:30,23031.3073879,23367.71
09:45,23367.8544947,23265.39
10:00,23265.8788111,23254.97
10:15,23255.3300269,23315.12
10:30,23315.2710453,23308.21
10:45,23308.5591073,23302.64
11:00,23302.9359665,23332.95
11:15,23333.1596643,23368.92
11:30,23369.139168,23439.91
11:45,23440.0727226,23384.84
12:00,23385.6217711,23387.93
12:15,23388.2330318,23388.77
12:30,23389.092618,23398.17
12:45,23398.4453931,23416.76
13:00,23417.0069935,23416.07
13:15,23416.3841038,23377.9
13:30,23378.3330246,23421.65
13:45,23421.8533739,23441.14
14:00,23441.3742776,23471.26
14:15,23471.469496,23509.76
14:30,23509.9585883,23496.68
14:45,23497.0491145,23547.13
15:00,23547.3221731,23556.16
15:15,23556.4552233,23553.81
