Time,Predicted,Actual
09:30,22576.138524,22515.34
09:45,22515.7772067,22532.33
10:00,22532.5572906,22494.16
10:15,22494.5521329,22526.02
10:30,22526.2312996,22535.08
10:45,22535.3058907,22532.19
11:00,22532.5068597,22537.78
11:15,22538.0116757,22511.52
11:30,22511.8645594,22503.26
11:45,22503.588457,22482.19
12:00,22482.5376369,22500.0
12:15,22500.2340126,22518.49
12:30,22518.7554925,22524.66
12:45,22524.956134,22504.31
13:00,22504.6668944,22517.13
13:15,22517.3826159,22510.6
13:30,22510.9475118,22502.08
13:45,22502.4394325,22507.38
14:00,22507.6853576,22526.44
14:15,22526.6635121,22525.0
14:30,22525.332676,22527.74
14:45,22528.0575932,22542.85
15:00,22543.1241239,22538.26
15:15,22538.5535723,22552.5
