Time,Predicted,Actual
09:30,21753.0250429,21796.66
09:45,21797.1440398,21797.4
10:00,21797.6578628,21782.3
10:15,21782.5637277,21752.39
10:30,21752.7589575,21778.84
10:45,21779.0401361,21799.78
11:00,21804.7890077,21804.78
11:15,21805.0457641,21793.64
11:30,21793.9517133,21785.55
11:45,21785.8386489,21847.71
12:00,21847.873274,21819.28
12:15,21819.6485707,21804.24
12:30,21804.5608417,21805.13
12:45,21805.401683,21776.05
13:00,21776.41561,21771.87
13:15,21772.1392624,21770.29
13:30,21770.5480435,21782.92
13:45,21783.1521925,21790.21
14:00,21790.4791409,21818.46
14:15,21818.7010057,21771.69
14:30,21772.1404973,21751.63
14:45,21752.0198035,21733.21
15:00,21733.5406665,21749.78
15:15,21750.0092195,21739.51
