date,returnValue
9-4-2014,623
17-4-2014,292.85
22-4-2014,-111.55
23-4-2014,385.25
6-5-2014,-90.45
7-5-2014,261.95
8-5-2014,-113.85
9-5-2014,1533.05
13-5-2014,-465.5
14-5-2014,1410.9
15-5-2014,289.75
